,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
40,Z Groenewald (NAM),201902019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0
41,DL Hemp (BMUDA),200802008,2,2,0,20,20,10,32,62.5,0,0,1,2,1
42,Kuldeep Yadav (INDIA),201702019,19,2,1,20,16,20,20,100,0,0,0,2,0
43,MJ North (AUS),200902009,1,1,0,20,20,20,21,95.23,0,0,0,1,0
44,N Pokana (PNG),201602019,19,7,5,20,8*,10,28,71.42,0,0,0,0,0
45,JRMVB Sanjaya (SL),201702017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
46,JOP Scamans (Fin),201902019,2,2,1,20,12*,20,19,105.26,0,0,0,1,0
47,S Sreesanth (INDIA),200602008,10,3,2,20,19*,20,14,142.85,0,0,1,4,0
48,A Uniyal (Chile),201902019,3,3,1,20,16*,10,24,83.33,0,0,0,2,0
49,C Waiswa (UGA),201902019,4,2,1,20,14*,20,14,142.85,0,0,0,1,1
0,Aziz Mohammad (Belg),201902019,3,3,1,19,19,9.5,25,76,0,0,1,0,2
1,Bilal Ahmed (Serb),201902019,1,1,0,19,19,19,28,67.85,0,0,0,1,1
2,CJ Dala (SA),201802019,9,4,3,19,12*,19,28,67.85,0,0,0,1,0
3,Fahad Tariq (UAE),201602016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
4,Ibrahim Hassan (Mald),201902019,11,7,2,19,12*,3.8,41,46.34,0,0,3,0,0
5,Imran Haider (ROM),201902019,2,2,0,19,15,9.5,26,73.07,0,0,0,2,1
6,Imran Tahir (SA/World),201302019,38,4,3,19,9*,19,18,105.55,0,0,0,1,1
7,Irfan Mir (Chile),201902019,4,3,2,19,18*,19,7,271.42,0,0,1,0,2
8,Jaspreet Singh (ITA),201902019,5,2,0,19,11,9.5,23,82.6,0,0,0,1,0
9,Junaid Sheikh (NOR),201902019,5,3,0,19,9,6.33,20,95,0,0,0,1,1
10,HGJM Kulatunga (SL),200802008,2,2,0,19,11,9.5,38,50,0,0,0,0,0
11,CJ McKay (AUS),201002013,6,4,2,19,7,9.5,22,86.36,0,0,1,1,1
12,Mohammad Ahsan (KUW),201902019,6,3,0,19,8,6.33,20,95,0,0,0,0,1
13,Muktar Ali (BDESH),201602016,1,1,1,19,19*,0,15,126.66,0,0,0,1,1
14,SN Netravalkar (USA),201902019,8,2,1,19,12,19,15,126.66,0,0,0,1,1
